Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
RedisDesktopManager,2013-08-05 07:51:08 +0000 UTC,2022-08-31 09:39:20 +0000 UTC,C++,86,420,36,4489,2022-07-28T12:18:48Z,20723
discord.js,2015-08-10 13:36:26 +0000 UTC,2022-08-31 06:48:42 +0000 UTC,JavaScript,115,3517,72,3321,2022-08-22T09:42:06Z,20722
tornado,2009-09-09 04:55:16 +0000 UTC,2022-08-31 05:32:17 +0000 UTC,Python,0,857,187,1545,No Releases,20713
elixir,2011-01-09 08:43:57 +0000 UTC,2022-08-31 07:19:36 +0000 UTC,Elixir,123,6089,17,4759,2022-08-15T10:10:24Z,20678
C-Plus-Plus,2016-07-16 10:19:45 +0000 UTC,2022-08-31 09:53:19 +0000 UTC,C++,0,512,2,196,No Releases,20663
Clone-Wars,2020-12-02 11:10:16 +0000 UTC,2022-08-31 11:05:05 +0000 UTC,,0,94,8,62,No Releases,20662
uptime-kuma,2021-07-03 01:02:42 +0000 UTC,2022-08-31 10:29:18 +0000 UTC,JavaScript,57,503,654,703,2022-08-13T06:04:17Z,20651
Telegram,2013-10-25 14:08:10 +0000 UTC,2022-08-31 10:41:38 +0000 UTC,Java,75,20,0,0,2022-06-21T02:51:00Z,20635
Python-programming-exercises,2012-06-14 07:56:46 +0000 UTC,2022-08-31 06:41:22 +0000 UTC,,0,0,60,11,No Releases,20629
pytorch-image-models,2019-02-02 05:51:12 +0000 UTC,2022-08-31 11:10:43 +0000 UTC,Python,35,172,54,519,2022-08-24T18:01:20Z,20607
homebridge,2014-12-01 16:37:39 +0000 UTC,2022-08-31 10:23:18 +0000 UTC,TypeScript,31,297,18,2787,2022-06-22T09:24:31Z,20604
howler.js,2013-01-28 16:47:12 +0000 UTC,2022-08-31 06:37:41 +0000 UTC,JavaScript,24,127,283,1037,2021-06-30T18:45:52Z,20594
gentelella,2015-05-15 06:57:27 +0000 UTC,2022-08-31 08:50:48 +0000 UTC,HTML,7,162,30,609,2019-11-20T13:01:58Z,20592
croc,2017-10-17 15:20:18 +0000 UTC,2022-08-31 10:28:11 +0000 UTC,Go,135,137,82,257,2022-07-08T23:41:04Z,20577
the-swift-programming-language-in-chinese,2014-06-03 04:44:09 +0000 UTC,2022-08-31 07:22:55 +0000 UTC,CSS,1,692,7,395,2016-09-23T00:54:22Z,20576
passport,2011-10-08 22:38:32 +0000 UTC,2022-08-31 07:22:15 +0000 UTC,JavaScript,0,51,313,408,No Releases,20560
autoprefixer,2013-03-14 05:04:51 +0000 UTC,2022-08-31 05:30:20 +0000 UTC,JavaScript,187,266,33,1089,2022-07-29T10:56:40Z,20543
The-Art-Of-Programming-By-July,2013-12-14 10:00:06 +0000 UTC,2022-08-31 06:17:42 +0000 UTC,C,0,254,47,83,No Releases,20531
Kingfisher,2015-04-06 14:26:21 +0000 UTC,2022-08-31 11:15:30 +0000 UTC,Swift,167,555,78,1150,2022-08-10T14:08:07Z,20505
nushell,2019-05-10 16:59:42 +0000 UTC,2022-08-31 05:27:41 +0000 UTC,Rust,57,3345,417,2259,2022-08-16T17:47:47Z,20467
streamlit,2019-08-24 00:14:52 +0000 UTC,2022-08-31 09:19:20 +0000 UTC,Python,44,2152,614,2037,2022-08-25T23:27:21Z,20466
react-admin,2016-07-13 07:58:54 +0000 UTC,2022-08-31 11:00:49 +0000 UTC,TypeScript,248,3547,99,3735,2022-08-23T15:46:33Z,20431
viper,2014-04-02 14:33:33 +0000 UTC,2022-08-31 10:46:26 +0000 UTC,Go,19,249,347,396,2022-05-26T15:49:05Z,20415
